Mach,CD Rocket
6.22,0.222597525
6.23,0.2222677
6.24,0.221938584
6.25,0.221610168
6.26,0.221282442
6.27,0.220955403
6.28,0.22062906
6.29,0.220303399
6.3,0.219978428
6.31,0.219654111
6.32,0.219330492
6.33,0.219007542
6.34,0.218685266
6.35,0.218363642
6.36,0.218042694
6.37,0.217722404
6.38,0.217402777
6.39,0.217083794
6.4,0.216765479
6.41,0.216447793
6.42,0.216130767
6.43,0.215814385
6.44,0.215498642
6.45,0.215183537
6.46,0.214869067
6.47,0.21455523
6.48,0.214242026
6.49,0.213929459
6.5,0.213617489
6.51,0.213306161
6.52,0.212995446
6.53,0.212685352
6.54,0.212375862
6.55,0.212066999
6.56,0.211758733
6.57,0.211451081
6.58,0.211144023
6.59,0.210837561
6.6,0.210531708
6.61,0.210226451
6.62,0.209921788
6.63,0.209617703
6.64,0.209314221
6.65,0.20901132
6.66,0.208709007
6.67,0.208407274
6.68,0.208106105
6.69,0.207805519
6.7,0.207505513
6.71,0.207206068
6.72,0.206907196
6.73,0.206608884
6.74,0.206311148
6.75,0.206013958
6.76,0.205717352
6.77,0.205421269
6.78,0.205125763
6.79,0.204830805
6.8,0.204536404
6.81,0.204242534
6.82,0.203949216
6.83,0.203656439
6.84,0.203364207
6.85,0.203072512
6.86,0.202781351
6.87,0.20249072
6.88,0.20220063
6.89,0.201911059
6.9,0.201622021
6.91,0.201333509
6.92,0.201045519
6.93,0.200758059
6.94,0.200471107
6.95,0.200184663
6.96,0.199898752
6.97,0.199613345
6.98,0.19932845
6.99,0.199044053
7,0.198775424
7.01,0.198538969
7.02,0.198303269
7.03,0.198068302
7.04,0.197834033
7.05,0.197600524
7.06,0.197367733
7.07,0.197135676
7.08,0.196904322
7.09,0.196673679
7.1,0.196443766
7.11,0.196214553
7.12,0.195986045
7.13,0.195758242
7.14,0.195531141
7.15,0.195304722
7.16,0.195079024
7.17,0.194854003
7.18,0.194629669
7.19,0.194406018
7.2,0.194183052
7.21,0.193960768
7.22,0.193739163
7.23,0.193518236
7.24,0.193297966
7.25,0.193078361
7.26,0.192859428
7.27,0.192641158
7.28,0.19242356
7.29,0.192206599
7.3,0.191990304
7.31,0.191774645
7.32,0.191559642
7.33,0.19134528
7.34,0.19113157
7.35,0.190918491
7.36,0.190706049
7.37,0.190494251
7.38,0.19028309
7.39,0.190072541
7.4,0.189862637
7.41,0.189653341
7.42,0.189444664
7.43,0.189236617
7.44,0.189029174
7.45,0.188822347
7.46,0.188616142
7.47,0.18841053
7.48,0.188205537
7.49,0.188001134
7.5,0.187797348
7.51,0.187594159
7.52,0.187391553
7.53,0.187189543
7.54,0.186988132
7.55,0.186787304
7.56,0.186587063
7.57,0.186387412
7.58,0.186188328
7.59,0.185989836
7.6,0.185791912
7.61,0.185594568
7.62,0.185397784
7.63,0.185201582
7.64,0.185005937
7.65,0.18481087
7.66,0.184616357
7.67,0.184422398
7.68,0.184229006
7.69,0.184036173
7.7,0.183843881
7.71,0.18365215
7.72,0.183460965
7.73,0.183270329
7.74,0.183080237
7.75,0.182890689
7.76,0.182701665
7.77,0.182513191
7.78,0.182325239
7.79,0.182137846
7.8,0.181950982
7.81,0.181764623
7.82,0.181578812
7.83,0.181393514
7.84,0.18120875
7.85,0.181024508
7.86,0.180840775
7.87,0.180657553
7.88,0.180474858
7.89,0.180292682
7.9,0.180110992
7.91,0.179929837
7.92,0.179749175
7.93,0.179569017
7.94,0.179389368
7.95,0.179210212
7.96,0.179031554
7.97,0.178853394
7.98,0.178675739
7.99,0.178498564
8,0.17832189
8.01,0.178145701
8.02,0.177970004
8.03,0.177794779
8.04,0.177620043
8.05,0.177445778
8.06,0.17727201
8.07,0.17709871
8.08,0.176925891
8.09,0.176753545
8.1,0.176581667
8.11,0.17641027
8.12,0.176239329
8.13,0.176068858
8.14,0.175898845
8.15,0.175729299
8.16,0.175560235
8.17,0.175391606
8.18,0.175223437
8.19,0.17505574
8.2,0.174888482
8.21,0.174721674
8.22,0.174555322
8.23,0.174389419
8.24,0.174223964
8.25,0.174058947
8.26,0.17389439
8.27,0.173730255
8.28,0.173566578
8.29,0.173403334
8.3,0.173240523
8.31,0.173078158
8.32,0.172916199
8.33,0.172754704
8.34,0.172593618
8.35,0.172432989
8.36,0.172272757
8.37,0.172112965
8.38,0.171953587
8.39,0.171794654
8.4,0.171636123
8.41,0.171478005
8.42,0.171320318
8.43,0.171163045
8.44,0.171006191
8.45,0.170849741
8.46,0.170693697
8.47,0.170538086
8.48,0.17038286
8.49,0.170228053
8.5,0.17007365
8.51,0.169919639
8.52,0.169766041
8.53,0.169612844
8.54,0.169460052
8.55,0.169307658
8.56,0.16915565
8.57,0.169004043
8.58,0.168852827
8.59,0.168701992
8.6,0.168551567
8.61,0.168401533
8.62,0.168251865
8.63,0.16810261
8.64,0.167953717
8.65,0.167805219
8.66,0.167657097
8.67,0.167509358
8.68,0.167361997
8.69,0.167215014
8.7,0.167068418
8.71,0.166922201
8.72,0.166776346
8.73,0.166630859
8.74,0.166485745
8.75,0.166341024
8.76,0.166196645
8.77,0.166052628
8.78,0.165908984
8.79,0.165765716
8.8,0.1656228
8.81,0.165480253
8.82,0.165338063
8.83,0.165196239
8.84,0.165054764
8.85,0.164913661
8.86,0.164772895
8.87,0.164632473
8.88,0.164492434
8.89,0.164352736
8.9,0.164213389
8.91,0.164074386
8.92,0.163935743
8.93,0.163797435
8.94,0.163659479
8.95,0.16352185
8.96,0.163384571
8.97,0.163247645
8.98,0.163111067
8.99,0.16297481
9,0.162838891
9.01,0.162703314
9.02,0.16256809
9.03,0.162433181
9.04,0.162298599
9.05,0.162164347
9.06,0.162030448
9.07,0.161896868
9.08,0.161763616
9.09,0.161630701
9.1,0.161498103
9.11,0.161365844
9.12,0.161233897
9.13,0.161102259
9.14,0.160970974
9.15,0.160839992
9.16,0.160709333
9.17,0.160578985
9.18,0.160448972
9.19,0.160319267
9.2,0.160189864
9.21,0.160060791
9.22,0.159932016
9.23,0.15980357
9.24,0.15967543
9.25,0.159547597
9.26,0.159420073
9.27,0.159292861
9.28,0.159165957
9.29,0.159039357
9.3,0.158913061
9.31,0.158787067
9.32,0.158661368
9.33,0.158535988
9.34,0.158410892
9.35,0.158286102
9.36,0.158161616
9.37,0.158037418
9.38,0.157913529
9.39,0.157789917
9.4,0.157666616
9.41,0.157543598
9.42,0.157420879
9.43,0.157298452
9.44,0.157176313
9.45,0.157054478
9.46,0.156932906
9.47,0.156811631
9.48,0.156690644
9.49,0.156569939
9.5,0.156449529
9.51,0.156329389
9.52,0.156209559
9.53,0.156089985
9.54,0.155970706
9.55,0.155851692
9.56,0.155732965
9.57,0.155614509
9.58,0.155496326
9.59,0.155378442
9.6,0.155260823
9.61,0.155143479
9.62,0.155026399
9.63,0.154909613
9.64,0.15479308
9.65,0.154676822
9.66,0.154560833
9.67,0.154445109
9.68,0.154329666
9.69,0.154214479
9.7,0.154099556
9.71,0.153984915
9.72,0.153870529
9.73,0.153756412
9.74,0.153642545
9.75,0.153528942
9.76,0.153415608
9.77,0.153302521
9.78,0.153189719
9.79,0.153077162
9.8,0.152964859
9.81,0.152852811
9.82,0.152741028
9.83,0.152629506
9.84,0.152518218
9.85,0.15240719
9.86,0.152296416
9.87,0.152185902
9.88,0.152075629
9.89,0.151965615
9.9,0.151855844
9.91,0.151746339
9.92,0.151637064
9.93,0.151528035
9.94,0.151419256
9.95,0.151310713
9.96,0.151202427
9.97,0.151094386
9.98,0.150986591
9.99,0.150879031
10,0.150771728
10.01,0.150717256
10.02,0.150659901
10.03,0.150602693
